"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)";"Absolute (rad/s)"
2.091925833E0;-2.242532969E0;-4.739426672E-1;4.320459440E-2;2.292475170E0
2.101847833E0;-2.220095873E0;-4.200376570E-1;9.878228605E-2;2.261639949E0
2.111769833E0;-2.175479650E0;-3.652716279E-1;1.360947788E-1;2.210125983E0
2.121692833E0;-2.137589216E0;-2.749085426E-1;1.366380900E-1;2.159521320E0
2.131614833E0;-2.117123604E0;-1.282991171E-1;7.468897849E-2;2.122322186E0
2.141536833E0;-2.091051579E0;2.682367153E-2;-1.143034734E-2;2.091254854E0
2.151458833E0;-2.074709892E0;7.035490125E-2;-8.526941389E-2;2.077652960E0
2.161381833E0;-2.085562468E0;2.558823116E-2;-1.590714753E-1;2.091776589E0
2.171303833E0;-2.113686323E0;-1.432761550E-1;-1.899119467E-1;2.127031847E0
2.181225833E0;-2.127062082E0;-3.093369007E-1;-2.043556422E-1;2.159130299E0
2.191148833E0;-2.128965139E0;-3.578386605E-1;-2.218629867E-1;2.170199128E0
2.201070833E0;-2.099369049E0;-3.415250778E-1;-2.486352921E-1;2.141450278E0
2.210992833E0;-2.030945778E0;-3.306045234E-1;-2.751811743E-1;2.075997298E0
2.220914833E0;-1.946258187E0;-2.922151387E-1;-3.131859303E-1;1.992836181E0
2.230837833E0;-1.868430734E0;-2.952194512E-1;-3.438058794E-1;1.922599910E0
2.240759833E0;-1.825398207E0;-3.793090284E-1;-3.391110301E-1;1.894980275E0
2.250681833E0;-1.810610533E0;-4.707931578E-1;-3.132093847E-1;1.896854453E0
2.260604833E0;-1.807519555E0;-5.529709458E-1;-2.864614129E-1;1.911796001E0
2.270526833E0;-1.790297627E0;-6.126142740E-1;-2.431608140E-1;1.907770695E0
2.280448833E0;-1.749729037E0;-6.226314306E-1;-2.332756817E-1;1.871801043E0
2.290371833E0;-1.706150413E0;-5.979926586E-1;-2.485079020E-1;1.824911129E0
2.300293833E0;-1.664018273E0;-5.669808388E-1;-2.565616071E-1;1.776583222E0
2.310215833E0;-1.636894822E0;-5.317983627E-1;-2.577935755E-1;1.740313674E0
2.320137833E0;-1.631388426E0;-5.025799274E-1;-2.164272964E-1;1.720713676E0
