"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
2.624807167E0;-5.709729157E-3;-2.137122676E-2;2.279713303E-1
2.634729167E0;1.862064376E-2;5.952424556E-2;2.133567780E-1
2.644650167E0;2.722371370E-3;3.859526291E-2;2.251724303E-1
2.654571167E0;4.267032072E-2;-2.878931724E-2;2.903994322E-1
2.664492167E0;-3.024196997E-2;2.054254524E-2;3.405382335E-1
2.674413167E0;-3.253939562E-3;1.486765104E-3;3.027611375E-1
2.684334167E0;-1.382535696E-2;6.092452630E-2;2.066830695E-1
2.694256167E0;-1.330027170E-2;2.881563082E-2;1.513427049E-1
2.704177167E0;-3.340234235E-2;-9.371968918E-3;1.694572717E-1
2.714098167E0;-5.324635282E-2;-5.022628605E-2;2.012830228E-1
2.724019167E0;-2.399365976E-2;2.050765324E-3;1.706015468E-1
2.733940167E0;-2.781316638E-2;1.090296824E-2;1.149162874E-1
2.743861167E0;-2.475665510E-2;-4.048352689E-2;1.033848003E-1
2.753783167E0;-1.984747499E-2;2.932377160E-3;1.078336835E-1
2.763704167E0;-4.026300088E-2;7.251758128E-3;1.041268334E-1
2.773625167E0;-4.788310081E-2;6.983784959E-3;7.934366167E-2
2.783546167E0;-4.782664031E-2;-6.487016100E-3;3.224458918E-2
2.793467167E0;-5.985231698E-2;1.477630995E-2;-2.010963112E-2
2.803388167E0;-6.424067914E-2;2.621643012E-3;-5.996463820E-2
2.813310167E0;-7.092016190E-2;-8.626815863E-3;-9.660557657E-2
2.823231167E0;-5.959879607E-2;-1.872179285E-2;-1.209894791E-1
2.833152167E0;-5.559153482E-2;-3.573154099E-4;-1.617570370E-1
2.843073167E0;-3.664847091E-2;-3.001035657E-3;-2.009438425E-1
2.852994167E0;-2.767619118E-2;-3.137329966E-2;-2.225440592E-1
2.862915167E0;-1.456545014E-2;-9.988646954E-3;-2.176686078E-1
2.872837167E0;-8.959049359E-3;-1.700571366E-2;-2.109945267E-1
2.882758167E0;-1.516661234E-2;-1.383345574E-3;-2.121958882E-1
2.892679167E0;-9.610993788E-3;2.793084830E-3;-1.890276521E-1
2.902600167E0;-2.239816077E-2;1.003555115E-2;-1.360206306E-1
2.912521167E0;-2.434830740E-2;6.195221795E-4;-1.013116241E-1
2.922442167E0;-3.367362916E-2;-9.830456227E-3;-8.885469288E-2
2.932364167E0;-3.322390839E-2;-2.053200640E-2;-8.575777709E-2
2.942285167E0;-3.447772563E-2;-2.422714233E-2;-1.220526695E-1
2.952206167E0;-3.951421008E-2;-2.744111232E-2;-1.379164904E-1
2.962127167E0;-3.802603483E-2;2.009231783E-2;-1.323877573E-1
2.972048167E0;-3.570313752E-2;1.113677677E-2;-1.255583018E-1
2.981969167E0;-2.974191681E-2;2.656207234E-2;-7.311479002E-2
2.991891167E0;1.001712494E-2;-1.738286018E-2;2.660461962E-1
3.001812167E0;2.818654291E-2;3.608435765E-2;6.867986917E-2
3.011733167E0;1.287763752E-2;3.964138404E-2;1.365402155E-2
3.021654167E0;6.857561413E-3;4.043021053E-2;7.611309644E-3
3.031575167E0;9.602293372E-3;-1.993887872E-2;4.882768728E-3
3.041496167E0;-9.935189039E-3;-3.129699454E-2;6.577337626E-3
3.051418167E0;-1.667751372E-2;-2.471082285E-2;1.560803223E-2
3.061339167E0;-1.854252443E-2;-4.938183818E-3;1.553745847E-2
3.071260167E0;-8.230231702E-3;1.598508656E-2;7.591267582E-3
3.081181167E0;7.096793037E-3;2.204351127E-2;3.319823649E-3
3.091102167E0;1.755271852E-2;1.371651143E-2;1.464206493E-3
3.101023167E0;2.165878005E-2;1.077371836E-2;2.063957509E-4
3.110945167E0;2.094673738E-2;1.358151156E-2;-2.421499230E-4
3.120866167E0;1.476873644E-2;2.131479979E-2;2.429799410E-3
3.130787167E0;3.011326771E-3;2.266549692E-2;6.396684330E-4
3.140708167E0;-8.078075945E-3;1.456495933E-2;3.661618102E-4
3.150629167E0;-1.686073840E-2;5.032753106E-3;2.757362090E-4
3.160550167E0;-1.966957375E-2;-8.954432560E-4;1.689874800E-3
3.170472167E0;-1.869299635E-2;3.953031846E-4;2.246121410E-3
3.180393167E0;-8.235827088E-3;9.638070129E-3;2.030138858E-3
3.190314167E0;-7.191207260E-6;2.422514744E-2;3.857749281E-3
3.200235167E0;1.051176153E-2;-3.261017054E-2;5.315756425E-5
3.210156167E0;9.376814589E-3;2.747032559E-4;-4.904766567E-3
3.220077167E0;9.338464588E-3;-2.771218866E-2;-5.884809885E-3
3.229999167E0;9.738206863E-3;1.020737179E-2;-6.874289829E-3
3.239920167E0;-1.949874219E-3;1.763173379E-2;-4.415659700E-3
3.249841167E0;-5.869772285E-3;1.376330759E-2;5.421657115E-4
3.259762167E0;-9.192332625E-3;5.830017850E-3;4.265846219E-4
3.269683167E0;-1.142718177E-2;4.575676285E-3;1.558326418E-3
3.279604167E0;-1.013341732E-2;5.096324254E-3;1.571375644E-3
3.289526167E0;-8.343505673E-3;7.492395118E-3;-4.346667789E-3
3.299447167E0;-6.048925687E-3;6.826871075E-3;5.506190937E-4
3.309368167E0;-6.465267390E-3;1.309001911E-2;-2.207345795E-3
3.319289167E0;-9.180093184E-3;9.881176054E-3;-1.391349360E-4
3.329210167E0;-2.538880566E-3;5.659462418E-3;-6.818305701E-5
3.339131167E0;-5.012957379E-3;1.439915784E-2;2.898844657E-3
3.349053167E0;-3.631486092E-3;1.956635900E-2;3.500769148E-3
3.358974167E0;-2.694053575E-3;7.108359132E-3;-1.158431405E-3
3.368895167E0;4.532083403E-3;1.069765538E-2;3.003001912E-3
3.378816167E0;2.658017445E-3;1.128301863E-2;2.947874600E-3
3.388737167E0;4.838344641E-3;6.229288876E-3;2.754143439E-3
3.398659292E0;1.518181991E-3;8.251959458E-3;2.079298254E-3
3.408580292E0;5.416246597E-3;1.140547171E-2;2.127028536E-3
3.418501292E0;2.291559707E-3;-7.873683237E-3;7.152557373E-6
3.428422292E0;-6.788305473E-3;-6.171859801E-3;-8.694024291E-4
3.438343292E0;-9.265843779E-3;-1.849217527E-2;-3.267046297E-3
3.448264292E0;-9.436909109E-3;-5.091534927E-2;-5.742089823E-3
3.458186292E0;-9.126117453E-3;-6.285297126E-2;-1.938829664E-3
3.468107292E0;-1.191569399E-2;-2.520712465E-2;-4.335298669E-3
3.478028292E0;-5.784564652E-3;-6.645424291E-3;1.539918594E-4
3.487949292E0;1.317820046E-3;-5.241774488E-4;-2.698817290E-3
3.497870292E0;8.819412440E-3;1.745101996E-3;-3.758755513E-3
3.507791292E0;6.936911959E-3;4.601362161E-3;1.350450795E-3
3.517713292E0;8.553450927E-3;-8.966645226E-3;-3.363876836E-3
3.527634292E0;7.539940532E-3;-5.276284181E-3;-3.291240195E-3
3.537555292E0;1.930525061E-3;-9.708583355E-3;-3.757293336E-3
3.547476292E0;-2.879143693E-3;-1.664522849E-2;-6.613447331E-3
3.557397292E0;-5.624596495E-3;-1.900798455E-2;-8.529058658E-3
3.567318292E0;-1.413006634E-1;-2.281869501E-1;2.093917504E-2
3.577240292E0;-1.474139094E-2;1.525739394E-2;-5.488970783E-3
3.587161292E0;1.069436688E-2;6.073265895E-2;1.989194658E-3
3.597082292E0;-1.621820778E-2;-3.421292175E-3;6.332810502E-3
3.607003292E0;-1.644536108E-2;-4.611468688E-2;4.603388719E-3
3.616924292E0;3.765635192E-3;1.750050858E-2;3.036917886E-3
3.626845292E0;-1.166453585E-4;3.233072348E-3;4.871647805E-3
3.636767292E0;-9.830791503E-3;3.809970990E-2;2.752570435E-3
3.646688292E0;-8.862290531E-3;1.153167617E-2;1.982121961E-3
3.656609292E0;-1.762382314E-2;1.350667607E-2;1.307277242E-3
3.666530292E0;-2.005554549E-2;-1.502585597E-2;1.772062387E-3
3.676451292E0;-1.740330271E-2;-3.670585155E-2;5.672010593E-5
3.686372292E0;-1.501241513E-2;-4.395637289E-2;-1.794969779E-3
3.696294292E0;-8.052775636E-3;-3.249758855E-2;-3.029877553E-3
3.706215292E0;2.548378892E-3;-1.413321868E-2;-4.068145994E-3
3.716136292E0;7.524495944E-3;-7.075574715E-3;-9.336052462E-4
